agent_id,agent_name,region,hire_date
1,Sophie-Margot Techer,Oran,2023-04-06
2,Clémence Besnard,Blida,2022-02-15
3,Noël Pichon,Setif,2024-05-25
4,Guillaume Maury de Benard,Constantine,2023-03-07
5,Arnaude Le Pinto,Oran,2022-04-14
6,Alex Boyer,Annaba,2023-12-01
7,Louise Garnier,Constantine,2019-10-26
8,Thibault Valentin,Blida,2024-10-12
9,Nathalie du Blin,Blida,2020-10-21
10,Alice Lebreton-Masse,Alger,2025-03-11
11,Isaac du Charrier,Constantine,2022-03-01
12,Antoine Lebreton,Annaba,2019-02-25
13,Jean Delannoy,Setif,2023-10-15
14,Philippe Imbert,Alger,2021-03-13
15,Alphonse Hoarau,Alger,2019-10-19
16,Sabine Hardy,Oran,2023-01-15
17,Constance Le Guichard,Annaba,2019-08-27
18,Léon Lejeune Le Potier,Constantine,2019-01-11
19,Anastasie Lefort Le François,Blida,2023-01-22
20,Brigitte Pascal,Oran,2018-04-20
21,Lorraine Fleury,Constantine,2018-08-07
22,Clémence Le Roux de Guillon,Constantine,2023-08-19
23,Jérôme Ruiz,Oran,2020-08-23
24,Christelle Valentin,Constantine,2018-12-01
25,Honoré Vaillant,Oran,2020-07-08
